Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,9-period EMA of MACD,ROC,PPO,Slow Stoch %K,Slow Stoch %D,Fast %K,Fast %D,Chaikin A/D Oscillator,Upper Band,Middle Band (SMA),Lower Band,Highest High,lowest_low,William %R,Ibovespa: (Brasil)
45778.0,45778.0,44275.0,44433.0,1272800.0,45385.4,45063.2,44154.26666666667,43626.2,45175.58254992701,44803.89755603111,44233.56520148305,43694.01342384576,57.317300969719156,14.634601939438314,28.92734313645785,1432.1781973209509,1384.625436606017,-3.3897199512958776,5.132102105564004,81.38910812943959,83.70428834517229,65.93528018942384,81.38910812943959,396878.2017092067,47081.88086489489,43626.2,40170.5191351051,46591.0,40256.0,-34.064719810576165,88
44434.0,45369.0,44434.0,44888.0,1364400.0,45279.4,45135.3,44436.6,43748.65,45079.72169995134,44819.18890948,44315.36955129767,43807.72643109855,59.31323155563496,18.62646311126991,21.468412449656743,1350.69660497913,1377.8396702806397,-1.16693821832754,4.802554975910849,75.40647198105759,80.86819258089972,73.11760063141278,75.40647198105759,113609.86052626232,47200.938126735586,43748.65,40296.36187326442,46591.0,40256.0,-26.882399368587212,88
44888.0,45804.0,44888.0,45801.0,1243600.0,45385.0,45332.9,44761.6,43964.9,45320.14779996756,44997.70001684727,44501.07335738546,43997.56200908916,63.047311913039294,26.09462382607858,57.97034231309252,1344.2971055092712,1371.131157326366,1.1662580345901619,4.40336361357018,73.9770258710692,76.92420199385545,82.87819679237104,73.9770258710692,380498.2354172757,47362.057276311985,43964.9,40567.74272368802,46591.0,41977.0,-17.121803207628954,88
45801.0,46946.0,45801.0,46772.0,1528400.0,45534.4,45591.9,45081.333333333336,44213.55,45804.098533311706,45320.30001378413,44784.939187712276,44261.79419869972,66.56212524420376,33.12425048840752,137.72142031556567,1401.422316972952,1377.1893892556832,1.6230309614340133,4.232085915904853,83.68279969097217,77.68876584769964,95.05260164913278,83.68279969097217,793594.1998534147,47667.69356823787,44213.55,40759.40643176214,46946.0,43429.0,-4.947398350867216,88
46772.0,46772.0,45662.0,45820.0,1687400.0,45542.8,45620.0,45220.26666666667,44375.1,45809.39902220781,45411.15455673247,44914.32178924824,44410.19475120451,60.48743930420758,20.97487860841516,83.9893318024701,1354.2648921428117,1372.6044898331088,0.091747127441133,4.09165204361863,81.97162526004821,79.87715027402986,67.98407733864089,81.97162526004821,506390.28343418613,47812.39806097769,44375.1,40937.801939022305,46946.0,43429.0,-32.01592266135911,88
45819.0,46138.0,44966.0,45821.0,1792400.0,45820.4,45602.9,45315.6,44570.8,45813.2660148052,45485.67191005384,45027.65656559221,44544.5571558517,60.49151812596273,20.98303625192544,31.36299878331231,1301.9647457130122,1358.4765410090895,3.1238043796277593,3.9132803481118583,76.49487868038621,80.71643454380218,66.44795705338503,76.49487868038621,604659.4684031699,47866.501115088904,44570.8,41275.0988849111,46946.0,43593.0,-33.55204294661497,88
45825.0,47410.0,45825.0,47227.0,2053400.0,46288.2,45783.8,45519.6,44899.5,46284.510676536804,45802.27701731678,45302.57449489318,44800.02790291344,65.83209218383132,31.664184367662656,154.07858277684767,1358.3111865932224,1358.443470125916,5.2107467474603375,3.584821846949377,76.49714321346866,78.32121571796769,95.05939524838013,76.49714321346866,1092376.7499846015,47861.040038560954,44899.5,41937.959961439046,47410.0,43706.0,-4.940604751619871,88
47235.0,48126.0,47235.0,47290.0,2136000.0,46586.0,45985.5,45750.6,45217.7,46619.67378435787,46072.77210507737,45551.00268303153,45037.16810263597,66.05352004195787,32.107040083915756,213.31784114223527,1392.0035697718122,1365.1554900550952,3.251020720071618,3.3930424672764263,80.10174064805645,77.69792084730376,78.79786964240427,80.10174064805645,596859.8390841288,47737.79365698993,45217.7,42697.60634301006,48126.0,44183.0,-21.20213035759574,88
47290.0,50405.0,47290.0,50405.0,2502000.0,47312.6,46423.5,46165.46666666667,45639.15,47881.44918957191,46860.44990415421,46157.75234765259,45548.39018809921,74.76242692127695,49.52485384255393,262.7827412899982,1651.027476025447,1422.3298872491655,7.767467715727361,3.5283561823321143,91.28575496359478,82.62821294170662,100.0,91.28575496359478,1135979.2992535606,48625.834467766836,45639.15,42652.46553223317,50405.0,44275.0,-0.0,100
50404.0,50909.0,50013.0,50670.0,1945400.0,48282.6,46912.7,46507.53333333333,45985.85,48810.966126381274,47553.09537612617,46721.78330419602,46036.162551137386,75.34198833038202,50.68397666076404,223.94282444546604,1856.2909071241593,1509.1220912241643,10.584897424705364,3.742567958225769,91.73173888090189,87.70641149751769,96.39734700030147,91.73173888090189,1542027.6364361858,49560.339461447715,45985.85,42411.36053855228,50909.0,44275.0,-3.6026529996985226,100
50675.0,52096.0,50672.0,51499.0,2468600.0,49418.2,47619.3,46874.666666666664,46341.25,49706.97741758751,48270.53258046687,47318.935391171515,46556.4327843624,77.11266943322308,54.22533886644614,186.30564841290337,2062.086576422298,1619.714988263791,12.391698129678531,3.964258867369139,96.25468400841142,93.09072595096934,92.36670502493288,96.25468400841142,1694819.6046678722,50565.22840311705,46341.25,42117.27159688295,52096.0,44275.0,-7.633294975067128,100
51499.0,52079.0,49743.0,50058.0,2030200.0,49984.4,48136.3,47184.0,46635.8,49823.98494505834,48595.52665674562,47661.31846727508,46889.91537632788,67.97518165414947,35.95036330829891,118.96138761299511,2084.8713705855407,1712.7462647281409,5.994452325999955,4.031500170373519,87.56866772745843,91.85169687225722,73.94195115714103,87.56866772745843,1131491.7082461463,51030.37941559803,46635.8,42241.22058440198,52096.0,44275.0,-26.058048842858973,100
50066.0,51396.0,50051.0,51396.0,1692800.0,50805.6,48695.8,47592.2,47014.35,50347.98996337223,49104.70362824642,48128.153658865696,47319.06629286808,71.36778324053815,42.73556648107631,104.951311788284,2185.6985298805594,1807.3367177586247,8.682596743497562,4.357554523108333,85.78613135575159,89.86982769720713,91.04973788518093,85.78613135575159,1336794.6862330642,51671.70003086534,47014.35,42356.99996913466,52096.0,44275.0,-8.950262114819077,100
51389.0,51389.0,50060.0,50976.0,1285600.0,50919.8,49116.2,47922.26666666667,47354.05,50557.326642248154,49444.93933220161,48484.13445150748,47667.345693547315,68.90034965388108,37.800699307762144,83.39037182308589,2206.281648645825,1887.1257039360648,1.1328241245908144,4.581039416505836,83.5570898862038,85.63729632313793,85.67958061628948,83.5570898862038,1454074.4674661867,52125.19428517929,47354.05,42582.905714820714,52096.0,44275.0,-14.320419383710524,100
50980.0,51565.0,49808.0,50326.0,1852000.0,50851.0,49566.8,48225.46666666667,47593.4,50480.21776149877,49605.13218089223,48714.36764506905,47920.55086559043,65.14644910134176,30.29289820268353,65.36902211183497,2145.413361084189,1938.7832353656897,-0.6789027037694906,4.669044905127768,84.54276683016904,84.62866269070814,76.8989819890368,84.54276683016904,1128050.8606457599,52455.73278992706,47593.4,42731.06721007294,52096.0,44434.0,-23.101018010963195,100
50317.0,50317.0,48430.0,48679.0,1712200.0,50287.0,49852.6,48508.53333333333,47727.75,49879.81184099918,49436.744511639095,48709.94668943542,47992.784116486575,56.71462854819911,13.429257096398217,15.44636772522826,1941.8907613013216,1939.404740552816,-5.475834482222952,4.583823729475275,71.72430074265591,79.94138581967624,52.59433962264151,71.72430074265591,491112.87676782906,52554.020770480995,47727.75,42901.479229519005,52096.0,44888.0,-47.405660377358494,100
48671.0,49461.0,48284.0,49446.0,1416200.0,50164.6,50074.5,48812.4,47929.15,49735.20789399945,49438.42732770472,48801.953353255994,48131.18562920214,59.353054840349785,18.706109680699555,5.009049964221057,1821.4911089209927,1915.8220142264513,-1.2225818051060822,4.7931263673876305,64.1088070636403,73.45862487882175,62.83309957924264,64.1088070636403,625024.4402524065,52688.78541776043,47929.15,43169.51458223957,52096.0,44966.0,-37.166900420757365,100
49447.0,49552.0,48796.0,49007.0,1508800.0,49686.8,50246.2,49026.13333333333,48115.85,49492.47192933297,49359.98599539477,48827.584184098996,48214.59652165908,57.203825645739656,14.40765129147932,-0.10637780533444724,1671.383220487165,1866.934255478594,-4.648221651490392,4.941681689770609,57.367818677392876,64.40030882789635,56.676016830294536,57.367818677392876,410890.41694116406,52734.94377583973,48115.85,43496.756224160265,52096.0,44966.0,-43.32398316970547,100
49012.0,51490.0,49012.0,51463.0,1731600.0,49784.2,50352.0,49338.86666666667,48387.75,50149.31461955531,49742.35217805026,49157.01116108662,48523.96828150107,64.86837200982532,29.736744019650637,59.79267221819485,1730.6504506830242,1839.67749451948,0.9553515379786548,5.035422163162882,70.21037868162692,63.8956681408867,91.12201963534362,70.21037868162692,824893.6252791248,53121.3174443278,48387.75,43654.1825556722,52096.0,44966.0,-8.877980364656382,100
51465.0,52145.0,50987.0,51347.0,2003200.0,49988.4,50419.7,49707.333333333336,48666.2,50548.543079703544,50034.10632749567,49430.759765950796,48792.82844516763,64.28278624607154,28.565572492143087,93.45224845254141,1748.1088167831113,1821.3637589722061,2.0287724039264043,5.136787432119376,78.39048472905237,68.65622736269073,87.37341772151899,78.39048472905237,678186.0024636034,53408.119046124855,48666.2,43924.28095387514,52145.0,45825.0,-12.626582278481012,100
51349.0,52640.0,51143.0,51245.0,2062000.0,50501.6,50394.3,50068.933333333334,49006.8,50780.69538646903,50254.26881340555,49657.53979520695,49026.3685932469,63.73792950458862,27.475859009177228,100.2007800742362,1733.7288037073085,1803.8367679192265,5.271266870724545,4.803274131356301,84.22866721639484,77.60984354235804,74.19056429232192,84.22866721639484,-10167.756374360994,53452.900340748034,49006.8,44560.69965925197,52640.0,47235.0,-25.809435707678077,100
