Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,GoogleTrends
51795.0,53041.0,51795.0,53041.0,51611.6,51120.7,50802.0,50597.6,5.187.497.874.449.110,5.125.317.677.984.310,5.071.414.249.536.390,5.015.223.234.587.780,4.805.035.249.999.990,50597.6,4.808.922.894.291.960,53041.0,48284.0,100
53047.0,53806.0,52432.0,53198.0,52137.6,51539.8,5.092.213.333.333.330,50893.0,5.231.598.582.966.070,5.160.678.100.168.980,5.102.462.468.344.340,50.442.305.455.794.200,483.341.175,50893.0,4.863.307.672.696.640,53198.0,48284.0,100
53202.0,54857.0,53202.0,54486.0,52871.6,51842.1,5.115.613.333.333.330,51097.05,5.303.932.388.644.050,5.213.027.536.501.890,51.457.296.598.013,5.082.741.922.190.900,486.070.125,51097.05,483.630.038.061.696,54486.0,48284.0,81
54486.0,54955.0,53850.0,54000.0,53303.4,52107.4,51.401.066.666.666.600,51263.55,5.335.954.925.762.700,5.247.022.529.865.180,5.177.513.452.326.130,5.112.956.977.220.340,4.887.089.750.000.000,51263.55,48.261.372.625.160.400,54486.0,48284.0,81
53999.0,54001.0,51643.0,52087.0,53362.4,52191.6,5.162.826.666.666.660,51292.95,5.293.536.617.175.130,52.400.547.971.624.200,518.141.177.078.537,5.122.075.360.342.210,491.184.825,51292.95,4.827.067.632.112.860,54486.0,48796.0,81
52094.0,53464.0,51745.0,53464.0,53447.0,52529.3,5.189.613.333.333.330,51463.25,5.311.157.744.783.420,52.593.902.885.874.300,5.202.035.299.437.190,5.143.439.611.738.190,49.359.855,51463.25,4.835.587.149.875.510,54486.0,49012.0,81
53474.0,54627.0,53050.0,53341.0,53475.6,52806.6,52.185.066.666.666.600,51560.5,53.188.051.631.889.400,5.272.973.872.480.630,5.218.543.387.007.540,5.161.597.743.953.600,495.871.625,51560.5,48.347.673.300.658.900,54486.0,49565.0,81
53340.0,53905.0,52483.0,53630.0,53304.4,53088.0,5.232.953.333.333.330,51693.2,53.335.367.754.593,5.289.342.259.302.330,5.236.600.463.631.600,518.077.891.119.612,49804.12,51693.2,483.705.419.917.183,54486.0,49565.0,81
53159.0,54048.0,52819.0,53411.0,53400.6,53381.5,52594.6,52071.35,5.332.094.122.426.350,5.302.673.743.830.480,5.258.314.417.467.940,5.207.673.439.777.320,5.023.336.750.000.000,52071.35,49.022.440.603.183.000,54486.0,49989.0,81
53411.0,53936.0,53143.0,53558.0,53419.4,53433.2,52826.0,52276.95,53.399.960.816.175.700,5.312.333.063.134.030,5.270.500.115.284.450,5.221.780.731.227.100,504.507.575,52276.95,4.941.508.064.763.630,54486.0,50074.0,81
53558.0,53558.0,51252.0,52034.0,53158.0,53316.8,5.292.373.333.333.330,52428.3,5.294.464.054.411.710,529.252.705.165.512,5.262.112.600.873.890,5.220.030.185.395.940,50.666.380.000.000.000,52428.3,4.998.454.075.653.950,54486.0,50074.0,81
52035.0,52494.0,51166.0,51206.0,52673.2,52988.8,5.294.973.333.333.330,52415.45,523.650.936.960.781,5.261.267.587.717.820,5.244.423.525.764.660,5.210.560.643.929.660,50.867.765,52415.45,4.994.892.584.848.670,54486.0,51166.0,81
51197.0,51197.0,50265.0,51046.0,52251.0,52693.4,5.289.673.333.333.330,52400.4,519.253.957.973.854,52.327.825.717.691.200,5.226.945.585.044.070,52.004.691.540.316.000,51.054.475,52400.4,4.990.448.394.371.950,54486.0,50265.0,81
51050.0,51275.0,50510.0,50903.0,51749.4,52575.0,5.283.746.666.666.660,52383.3,5.158.459.719.825.690,5.206.876.649.629.280,52.098.648.869.135.600,51.899.768.536.476.400,51223.3,52383.3,4.985.152.614.754.030,54486.0,50265.0,81
50908.0,51665.0,50908.0,51374.0,51312.6,52366.0,52.726.333.333.333.300,52447.65,5.151.439.813.217.120,5.194.244.531.514.870,5.200.806.776.049.370,5.184.969.534.252.620,51.382.345,52447.65,5.009.340.835.777.240,54486.0,50265.0,81
51367.0,51367.0,49411.0,49495.0,50804.8,51981.4,5.247.946.666.666.660,52394.0,5.084.126.542.144.750,5.149.745.525.784.890,5.169.393.429.043.200,5.162.543.864.323.800,51526.79,52394.0,4.983.119.840.799.200,54000.0,49411.0,81
49496.0,49902.0,49130.0,49814.0,50526.4,51599.8,52168.0,52343.9,5.049.884.361.429.830,5.119.137.248.369.450,51.458.942.504.128.000,514.529.206.772.154,51658.62,52343.9,4.962.522.841.998.180,53630.0,49130.0,81
49819.0,50758.0,49520.0,49672.0,50251.6,51251.3,5.187.946.666.666.660,52235.45,5.022.322.907.619.890,5.091.512.294.120.460,5.123.557.469.111.200,5.128.330.918.414.720,51.769.975,52235.45,4.928.225.549.404.570,53630.0,49130.0,81
49668.0,51515.0,49327.0,51515.0,50374.0,51061.7,51.841.333.333.333.300,52221.6,5.065.381.938.413.260,5.102.419.149.734.920,51.270.502.854.723,5.130.537.497.613.320,51865.71,52221.6,49.257.638.029.933.800,53630.0,49130.0,81
51517.0,51935.0,51341.0,51486.0,50396.4,50854.5,5.170.946.666.666.660,52143.85,5.093.121.292.275.500,511.081.566.796.494,5.129.743.999.788.260,5.132.257.735.935.860,5.194.302.250.000.000,52143.85,4.918.837.567.089.500,53630.0,49130.0,81
51488.0,52275.0,51488.0,52138.0,50925.0,50864.9,5.162.926.666.666.660,52090.85,5.133.347.528.183.670,5.129.540.091.971.310,51.402.509.998.147.200,51.400.236.658.467.300,52.002.915,52090.85,4.917.514.203.965.850,53558.0,49130.0,81
52143.0,52435.0,51102.0,51465.0,51255.2,50890.8,5.148.493.333.333.330,51939.8,5.137.731.685.455.780,5.132.623.711.612.890,5.141.032.124.837.880,5.140.640.459.575.610,52.045.052.500.000.000,51939.8,4.923.035.772.528.760,53558.0,49130.0,81
51464.0,52383.0,51464.0,51544.0,51629.6,50940.6,51377.4,51817.0,5.143.287.790.303.850,5.136.583.036.774.180,5.142.703.109.233.150,5.141.950.891.996.980,52.072.725,51817.0,49.274.716.616.897.600,53558.0,49130.0,74
51538.0,51538.0,50608.0,51025.0,51531.6,50952.8,51.218.333.333.333.300,51763.9,512.969.186.020.257,513.038.612.099.706,5.137.677.720.579.000,513.819.366.418.775,520.962.725,51763.9,4.920.210.391.912.260,52138.0,49130.0,74
50932.0,50932.0,49691.0,50622.0,51118.2,51021.6,50.949.333.333.333.300,51501.5,509.915.193.786.781,5.112.501.452.898.850,5.123.411.067.318.300,5.127.105.017.623.070,521.020.325,51501.5,4.913.294.149.322.870,52138.0,49130.0,74
50619.0,50621.0,49400.0,49457.0,50716.6,50985.9,5.083.273.333.333.330,51292.85,5.048.001.291.911.870,5.082.173.916.008.150,5.101.197.183.903.510,5.109.828.349.278.020,52.082.015,51292.85,4.897.642.523.109.450,52138.0,49130.0,74
49460.0,49846.0,48456.0,49178.0,50243.4,50936.5,50708.2,51093.9,5.004.600.861.274.580,50.522.877.494.612.100,5.078.272.535.915.570,5.091.539.935.061.060,520.449.725,51093.9,4.876.860.295.230.940,52138.0,48456.0,74
49175.0,49326.0,48714.0,49221.0,49882.6,50707.1,50.596.066.666.666.600,50884.4,4.977.100.574.183.050,5.028.617.249.559.170,50.587.509.689.261.200,5.075.402.798.388.580,51.985.625,50884.4,4.868.003.937.614.580,52138.0,48456.0,74
49221.0,49644.0,48262.0,49187.0,49533.0,50477.2,5.045.026.666.666.660,50665.85,4.957.633.716.122.030,5.008.632.295.093.870,5.041.244.597.810.360,5.060.478.722.351.570,51905.07,50665.85,4.871.271.014.069.680,52138.0,48262.0,74
49186.0,49647.0,48573.0,48873.0,49183.2,50150.7,50408.8,50507.8,4.934.189.144.081.350,4.986.571.877.804.070,5.022.001.523.084.060,50.439.855.106.990.400,51.809.045,50507.8,4.851.197.149.033.320,52138.0,48262.0,74
48876.0,51488.0,48876.0,51297.0,49551.2,50133.9,5.050.766.666.666.660,50512.35,4.999.359.429.387.570,501.259.517.274.879,503.546.383.269.856,5.052.148.795.394.370,51713.89,50512.35,4.850.977.183.423.500,52138.0,48262.0,74
51292.0,52338.0,50703.0,51918.0,50099.2,50171.3,50657.4,50555.95,5.063.506.286.258.380,5.045.177.868.612.640,505.500.585.361.124,506.544.891.011.872,516.216.675,50555.95,4.847.246.028.560.280,52138.0,48262.0,74
51918.0,52352.0,51736.0,52072.0,50669.4,50276.0,5.069.453.333.333.330,50614.4,5.111.404.190.838.920,50.746.364.379.558.000,5.074.030.121.909.830,5.078.949.013.916.930,515.332.225,50614.4,4.843.200.302.419.590,52138.0,48262.0,74
52073.0,53262.0,52073.0,53155.0,51463.0,50498.0,50805.8,50703.45,51.794.361.272.259.400,5.118.429.812.872.920,5.104.213.856.671.100,5.101.477.679.258.180,514.460.125,50703.45,4.827.308.620.212.960,53155.0,48262.0,74
53155.0,53716.0,52520.0,53234.0,52335.2,50759.2,5.087.886.666.666.660,50890.4,52.274.240.848.172.900,5.155.697.119.623.300,5.131.612.124.587.210,512.261.313.837.645,513.708.325,50890.4,4.829.125.911.116.790,53234.0,48262.0,74
53232.0,53664.0,52543.0,53073.0,52690.4,51120.8,50.986.066.666.666.600,51053.35,52.540.493.898.782,5.183.261.279.691.790,5.153.573.109.013.810,5.140.202.363.292.970,51.306.305,51053.35,48.338.512.305.035.700,53234.0,48262.0,74
53074.0,54629.0,53065.0,54249.0,53156.6,51627.9,51166.4,51282.2,53.109.995.932.521.300,5.227.195.592.475.100,5.187.488.970.387.080,5.167.316.423.931.740,512.586.425,51282.2,4.831.207.127.551.700,54249.0,48262.0,74
54249.0,54600.0,54037.0,54457.0,53633.6,52151.5,51395.2,51429.3,5.355.899.728.834.750,526.692.366.657.054,5.219.765.349.088.700,5.193.829.145.462.050,512.190.275,51429.3,4.815.208.428.540.340,54457.0,48262.0,74
54458.0,54886.0,53943.0,54549.0,53912.4,52687.7,5.163.613.333.333.330,51582.45,5.388.899.819.223.170,5.301.101.181.739.530,5.249.157.180.452.610,5.218.693.036.370.420,511.909.575,51582.45,4.803.390.300.298.860,54549.0,48262.0,74
54547.0,54547.0,53779.0,54472.0,54160.0,53247.6,51892.8,51699.15,5.408.333.212.815.440,5.327.664.603.241.430,5.273.912.532.896.030,524.045.560.433.515,511.713.725,51699.15,4.793.804.871.048.400,54549.0,48262.0,74
54470.0,54470.0,53256.0,53735.0,54292.4,53491.4,52178.0,51812.65,5.396.722.141.876.960,53.359.983.117.429.900,5.286.360.966.284.030,5.253.126.499.160.370,51.165.015,51812.65,4.795.100.194.379.410,54549.0,48262.0,74
53735.0,55083.0,53735.0,54478.0,54338.2,53747.4,52.531.333.333.333.300,51959.35,5.413.748.094.584.640,5.356.325.891.426.080,5.306.540.845.498.520,5.271.666.832.573.670,511.721.325,51959.35,4.793.037.671.763.650,54549.0,48262.0,74
54474.0,54980.0,54206.0,54766.0,54400.0,54016.8,52901.0,52146.4,5.434.698.729.723.090,5.378.193.911.166.790,5.327.798.239.811.210,52.911.842.770.904.600,511.912.575,52146.4,47.963.873.280.420.200,54766.0,48573.0,74
